layer,type,score,confidence_pct,entity_count,sig_name_door,sig_name_window,sig_name_match,sig_block_door,sig_block_window,sig_block_samples,sig_entity_door,sig_entity_window,sig_arc_count,sig_insert_count,sig_line_count,sig_ratio_door,sig_ratio_window,arc_ratio,insert_ratio,sig_geo_door,sig_geo_window,geo_arc_analyzed,geo_poly_analyzed
U蘺慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-FIXT,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
XR Landscape_DM_BW$0$TA - HIDE,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
XR Landscape_DM_BW$0$L-LO-PV SCR,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
愀渀搀猀挀愀瀀攀开,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$TA - WOODWORK,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
XR Landscape_DM_BW$0$L-LO-HDR,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
XR Landscape_DM_BW$0$L-WATER,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$AR_SANITARY,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-CUBICLE,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-FLOR-PFIX,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-SANITARY,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
耯耣9耷耺72,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$S-Locker,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
C蘨晠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$03-COUN,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
GRID LINE 1$0$A-SEC. TAG,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
(蘺慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
GRID LINE 1$0$A_GRID DIM,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
慔橈$,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$TA - HARDWARE,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$TA - HIDE,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$TA - HACH,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
騀鸀萀鈀頀鈀言,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$G,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$TA - WOOD WORK,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$TA - PLUMBING,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
/蘪慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_E_EXP,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-txt,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$M-FF-PIPE,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-ROAD,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-SITE INFO,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-FINISH,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_GRID DIM,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_TEXT,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$PREFERRED PARKING,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
m蘨慠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
氀愀渀搀猀挀愀瀀攀,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-STAIR HANDRAIL,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
GRID LINE 1$0$plot limit A-TEXT1,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-LIFT BUTTON,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
