layer,type,score,confidence_pct,entity_count,sig_name_door,sig_name_window,sig_name_match,sig_block_door,sig_block_window,sig_block_samples,sig_entity_door,sig_entity_window,sig_arc_count,sig_insert_count,sig_line_count,sig_ratio_door,sig_ratio_window,arc_ratio,insert_ratio,sig_geo_door,sig_geo_window,geo_arc_analyzed,geo_poly_analyzed
狍鳃ゅ狍,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
LIFT 8 and 9$0$DRAWCENTER1,uncertain,0,0.0,37,0,0,,0,0,,0,0,0,0,37,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$NAK_DOOR,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
LIFT 8 and 9$0$DRAWDASH1,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
9蘨晠観,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
a蚹晠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
1蘪晠観,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$INTUMESCENT STRIP,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
O蘹晠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-SHAFT,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
嗌嘁づ狍,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A_MEP LOUVERS,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
XR Landscape_DM_BW$0$L-LO-WATER FEAT,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
頀娀頀鸀娀萀言鰀蘀退,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A蘨晠鶚,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
5蘩晠鶚,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
*蘩晠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
GRID LINE 1$0$A-TEXT1,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
j蘹晠,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$TEXT,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
LIFT 8 and 9$0$SHCH,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
TA - HIDE,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
甀爀渀椀琀甀爀攀娀,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
A-104_Ground Floor Plan$0$A-SERVICES,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
舀娀騀鸀萀鈀頀鈀言,uncertain,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
